slug,positions,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
mcgruro01,SHOOTING GUARD,10.8,0.5499999999999999,0.5095714285714286,0.1404285714285714,4.257142857142857,10.842857142857143,7.528571428571429,9.085714285714284,1.4142857142857144,0.6428571428571429,8.842857142857143,13.9,0.5,0.7857142857142857,1.2857142857142858,0.0821428571428571,-1.3571428571428572,-0.1571428571428571,-1.542857142857143,0.0142857142857142,681,1622,301,836,162,241,253,632,381,161,50,190,459,1825
mckinal01,SMALL FORWARD,10.22,0.5532,0.4542,0.1762,6.959999999999999,13.7,10.38,3.3600000000000003,1.1,1.06,10.3,15.64,0.2599999999999999,0.3399999999999999,0.62,0.0678,-2.9,-1.36,-4.24,-0.24,287,615,84,258,63,108,154,300,57,51,27,71,266,721
mclembe01,SHOOTING GUARD,9.62857142857143,0.5374285714285715,0.6005714285714285,0.1804285714285714,2.0285714285714285,9.8,5.857142857142857,6.442857142857143,1.4428571428571428,0.9714285714285714,10.857142857142858,19.7,-0.0428571428571428,0.4142857142857142,0.3571428571428571,0.0251428571428571,-2.3285714285714287,-1.4,-3.7285714285714286,-0.3857142857142857,1043,2580,549,1532,355,466,132,604,322,209,62,366,688,2990
mcraejo01,SHOOTING GUARD,12.48,0.5174,0.3964,0.3874,1.98,13.54,7.719999999999999,13.2,1.46,1.6,7.12,20.46,0.12,0.1399999999999999,0.2799999999999999,0.057,-1.44,-1.1800000000000002,-2.62,-0.02,566,1378,163,464,304,396,66,387,328,84,61,158,276,1599
meeksjo01,SHOOTING GUARD,13.75,0.567,0.49525,0.20325,1.425,10.95,6.15,10.3,1.025,0.375,7.0,19.65,0.525,0.375,0.875,0.105,-0.1,-1.2,-1.325,0.125,288,708,140,374,171,196,22,198,126,64,9,76,103,887
mejrisa01,CENTER,16.375,0.62225,0.09025,0.45075,11.375,25.425,18.275,6.675,1.375,6.85,17.975,13.3,0.925,1.075,2.025,0.1565,-1.925,2.2,0.25,0.325,280,464,12,41,121,205,259,549,94,72,190,123,382,693
meltode01,POINT GUARD,12.866666666666667,0.5116666666666666,0.419,0.1803333333333333,3.266666666666667,13.866666666666667,8.533333333333333,19.96666666666667,3.033333333333333,2.033333333333333,17.033333333333335,17.900000000000002,-2.775557561562892e-17,1.3333333333333333,1.3,0.059,-1.8,1.6,-0.2000000000000001,0.4666666666666667,433,1050,156,446,155,200,98,417,466,205,74,225,307,1177
metuch01,POWER FORWARD,11.85,0.514,0.104,0.313,7.3,22.5,14.95,10.05,1.75,1.95,14.95,21.0,0.35,0.5,0.9,0.0219999999999999,-3.8,-0.6,-4.4,0.0499999999999999,148,277,9,40,67,90,56,178,53,28,23,47,95,372
milescj01,SMALL FORWARD,11.783333333333331,0.5306666666666667,0.6478333333333334,0.1979999999999999,1.7833333333333332,10.133333333333333,5.983333333333333,6.616666666666667,1.7166666666666668,1.5666666666666669,7.0,19.866666666666667,0.8500000000000001,0.9833333333333334,1.8,0.0731666666666666,-0.4833333333333333,-0.45,-0.9166666666666666,0.4333333333333333,1010,2561,620,1691,369,450,103,655,250,198,109,213,599,3009
milleda01,SMALL FORWARD,11.2,0.6173333333333334,0.7873333333333333,0.1783333333333333,0.9333333333333332,8.766666666666667,4.9,11.1,1.6333333333333335,1.3666666666666665,11.166666666666666,13.133333333333333,1.2,0.5666666666666667,1.7333333333333334,0.092,-0.8000000000000002,0.3666666666666667,-0.3999999999999999,0.0,427,1019,297,764,126,150,34,282,278,81,45,125,338,1277
millema01,SMALL FORWARD,9.766666666666667,0.602,0.7723333333333334,0.1909999999999999,2.2,8.266666666666667,5.3,4.733333333333333,0.8666666666666667,1.2333333333333334,9.633333333333333,13.4,0.1,0.1333333333333333,0.2333333333333333,0.0996666666666666,-1.0333333333333334,-0.2,-1.2666666666666666,0.0,36,83,26,64,10,16,7,29,15,7,5,10,33,108
millspa01,POWER FORWARD,17.9,0.5621666666666667,0.2675,0.3516666666666666,7.516666666666667,19.08333333333333,13.35,13.333333333333334,2.083333333333333,2.8833333333333333,11.916666666666666,21.48333333333333,2.5166666666666666,2.8000000000000003,5.3,0.141,0.6666666666666666,0.9166666666666666,1.5833333333333333,1.7666666666666666,1857,3977,349,1012,1099,1462,701,1869,944,454,365,638,966,5162
mirotni01,POWER FORWARD,17.016666666666666,0.5710000000000001,0.572,0.2223333333333333,4.316666666666667,22.05,13.266666666666667,8.0,1.4666666666666668,2.25,8.916666666666666,21.75,1.2,1.3333333333333333,2.5166666666666666,0.127,1.8,-0.0333333333333333,1.7833333333333332,0.8666666666666667,1594,3686,766,2075,679,831,357,1877,445,261,247,402,709,4633
